policy_id,Year,issue_age,coverage_years,issue_year,portfolio_id,current_age,in_force,sum_assured,qx,lapse_rate,survival_multiplier,survival_multiplier_opening,survival_ratio,discount_factor,discount_factor_opening,acquisition_cost,admin_cost,collection_cost,maintenance_cost,total_expense_base,total_expense,unit_claim_pv,unit_expense_pv,unit_surrender_pv,premium_annuity_pv,net_annual_premium,gross_annual_premium,Gross_Premium_Inflow,Net_Premium_Inflow,Death_Benefits,surrender_charge,Surrender_Benefit,Operating_Expenses,Reinsurance_Ceding,Reinsurance_Recovery,Counterparty_Default_Cost,Net_Death_Benefit,Total_Outflows,Total_Inflows,Net_Cash_Flow,PV_Gross_Premium_Inflow,PV_Net_Premium_Inflow,PV_Reinsurance_Ceding,PV_Death_Benefits,PV_Surrender_Benefit,PV_Operating_Expenses,PV_Reinsurance_Recovery,PV_Counterparty_Default_Cost,PV_Net_Death_Benefit,PV_Total_Inflows,PV_Total_Outflows,PV_Net_Cash_Flow
1,1,43,10,2026,TERM_LIFE,43,True,15304.029,0.00503,0.1,0.895473,1.0,1.0,0.95238096,1.0,500.0,100.0,9.120506,50.0,650.0,659.1205,73.31359,557.1429,0.0,1.0,332.8985,456.02533,456.02533,332.8985,76.97927,1377.3627,0.0,593.20844,182.41014,30.791708,0.09237512,46.18756,821.8984985351562,486.8170471191406,-335.0814514160156,456.02532958984375,332.89849853515625,182.41014099121094,73.31359100341797,0.0,564.9603881835938,29.325435638427734,0.08797630667686462,43.988155364990234,485.3507652282715,791.4466608464718,-306.0958956182003
1,2,43,10,2026,TERM_LIFE,44,True,15304.029,0.0054200003,0.0860708,0.9089757,0.895473,0.895473,0.90702945,0.95238096,0.0,104.99999,8.167167,52.499996,157.49998,165.66714,67.371925,116.91412,0.0,0.8528314,332.8985,456.02533,408.35837,298.10162,74.27755,1224.3224,0.0,135.58182,163.34335,29.71102,0.08913306,44.56653,343.5808410644531,438.06939697265625,94.48855590820312,388.9127197265625,283.90631103515625,155.56509399414062,67.3719253540039,0.0,122.97669982910156,26.94877052307129,0.08084630966186523,40.423152923583984,415.8614902496338,319.04579305648804,96.81569719314575
1,3,43,10,2026,TERM_LIFE,45,True,15304.029,0.0058500003,0.07408182,0.92050153,0.9089757,0.81396323,0.8638376,0.90702945,0.0,110.25,7.423757,55.125,165.375,172.79875,62.950413,107.66619,0.0,0.73828864,332.8985,456.02533,371.18787,270.96713,72.87297,1071.2821,0.0,130.23209,148.47514,29.149189,0.08744757,43.72378,322.5184631347656,400.3370666503906,77.818603515625,336.6783142089844,245.77516174316406,134.67132568359375,62.95041275024414,0.0,112.49937438964844,25.180166244506836,0.07554049789905548,37.77024841308594,361.8584804534912,285.0164889842272,76.84199146926403
1,4,43,10,2026,TERM_LIFE,46,True,15304.029,0.0063300002,0.063762814,0.93031085,0.92050153,0.7492544,0.82270247,0.8638376,0.0,115.7625,6.8335795,57.88125,173.64374,180.47731,59.714752,100.2114,0.0,0.64723414,332.8985,456.02533,341.679,249.42566,72.58366,918.2418,0.0,126.6012,136.6716,29.033463,0.08710039,43.550194,306.91009521484375,370.71246337890625,63.8023681640625,295.1551513671875,215.4632568359375,118.06206512451172,59.714752197265625,0.0,104.15511322021484,23.885900497436523,0.0716577023267746,35.828853607177734,319.041051864624,258.11768965423107,60.92336221039295
1,5,43,10,2026,TERM_LIFE,47,True,15304.029,0.00686,0.054881163,0.9386353,0.93031085,0.6970395,0.7835262,0.82270247,0.0,121.55062,6.357353,60.77531,182.32593,188.68329,57.337772,94.11217,0.0,0.5734561,332.8985,456.02533,317.86768,232.0434,73.17914,765.2015,0.0,124.30175,127.14707,29.271656,0.08781497,43.907482,295.4441223144531,347.13934326171875,51.695220947265625,261.5105285644531,190.90267944335938,104.60420989990234,57.337772369384766,0.0,97.3936767578125,22.935108184814453,0.06880532950162888,34.40266036987305,284.4456367492676,236.46935235708952,47.97628439217806
1,6,43,10,2026,TERM_LIFE,48,True,15304.029,0.00745,0.047236655,0.94566524,0.9386353,0.6542659,0.7462154,0.7835262,0.0,127.62816,5.967236,63.81408,191.44223,197.40947,55.66478,89.0515,0.0,0.51263446,332.8985,456.02533,298.36182,217.80412,74.59613,612.16113,0.0,123.05727,119.34473,29.838453,0.08951536,44.757675,287.2491760253906,328.20025634765625,40.951080322265625,233.7742919921875,170.6552276611328,93.50971984863281,55.66477966308594,0.0,91.82722473144531,22.265913009643555,0.06679774075746536,33.39886474609375,256.04020500183105,218.80260706692934,37.237597934901714
1,7,43,10,2026,TERM_LIFE,49,True,15304.029,0.0081001,0.040656965,0.95157224,0.94566524,0.6187165,0.7106813,0.7462154,0.0,134.00957,5.6430078,67.00478,201.01434,206.65735,54.508312,84.79448,0.0,0.46169576,332.8985,456.02533,282.1504,205.96979,76.69867,459.1209,0.0,122.66382,112.86016,30.679468,0.09203841,46.019203,281.6352233886719,312.8298645019531,31.19464111328125,210.5449676513672,153.6978302001953,84.21798706054688,54.5083122253418,0.0,87.17488098144531,21.803325653076172,0.06540998071432114,32.704986572265625,232.34829330444336,204.16326459497213,28.185028709471226
1,8,43,10,2026,TERM_LIFE,50,True,15304.029,0.00882,0.034993775,0.95649487,0.95157224,0.5887534,0.67683935,0.7106813,0.0,140.71004,5.369729,70.35502,211.06506,216.4348,53.788994,81.16438,0.0,0.41841605,332.8985,456.02533,268.48645,195.99512,79.47084,306.08057,0.55252194,122.96758,107.394585,31.788336,0.09536501,47.682503,278.69256591796875,300.2747802734375,21.58221435546875,190.8083038330078,139.29006958007812,76.32332611083984,53.78899383544922,0.37396860122680664,83.22930145263672,21.515596389770508,0.06454679369926453,32.27339553833008,212.32390022277832,192.2645384967327,20.05936172604561
1,9,43,10,2026,TERM_LIFE,51,True,15304.029,0.0096099,0.030119421,0.96056014,0.95649487,0.5631396,0.6446089,0.67683935,0.0,147.74554,5.136119,73.87277,221.61832,226.75444,53.387188,78.02545,0.0,0.38115504,332.8985,456.02533,256.80594,187.46834,82.82105,153.04033,3.0506532,123.84832,102.722374,33.12842,0.09938527,49.69263,279.4133605957031,289.9343566894531,10.52099609375,173.8163604736328,126.88594818115234,69.52654266357422,53.38718795776367,1.9664782285690308,79.83373260498047,21.354875564575195,0.0640646293759346,32.03231430053711,195.171236038208,183.42313242703676,11.748103611171246
1,10,43,10,2026,TERM_LIFE,52,True,15304.029,0.0104600005,0.025924027,0.9638871,0.96056014,0.5409295,0.61391324,0.6446089,0.0,155.13281,4.933551,77.56641,232.69922,237.63277,53.160023,75.27235,0.0,0.34868798,332.8985,456.02533,246.67755,180.07462,86.59208,0.0,4.668259,125.210236,98.67102,34.636833,0.1039105,51.955246,280.6086730957031,281.31439208984375,0.705718994140625,159.0105438232422,116.07770538330078,63.60422134399414,53.1600227355957,2.865906000137329,76.86821746826172,21.264009475708008,0.06379202753305435,31.896013259887695,180.2745532989502,175.29815009981394,4.976403199136257
2,1,34,10,2026,TERM_LIFE,34,True,94630.086,0.0029000002,0.1,0.89738995,1.0,1.0,0.95238096,1.0,500.0,100.0,15.15807,50.0,650.0,665.1581,261.3593,557.1429,0.0,1.0,553.2696,757.9035,757.9035,553.2696,274.42728,8516.708,0.0,598.6423,303.1614,109.77091,0.32931274,164.65637,1066.7894287109375,867.6744384765625,-199.114990234375,757.9035034179688,553.2695922851562,303.1614074707031,261.35931396484375,0.0,570.135498046875,104.5437240600586,0.31363117694854736,156.8155975341797,862.4472274780273,1030.4261342287064,-167.97890675067902
2,2,34,10,2026,TERM_LIFE,35,True,94630.086,0.00301,0.0860708,0.9111783,0.89738995,0.89738995,0.90702945,0.95238096,0.0,104.99999,13.6027,52.499996,157.49998,171.10269,231.8453,117.1644,0.0,0.8546571,553.2696,757.9035,680.135,496.49857,255.60947,7570.407,0.0,140.33003,272.05402,102.24379,0.3067314,153.36568,566.0564575195312,782.3787841796875,216.32232666015625,647.7476196289062,472.85577392578125,259.09906005859375,231.84530639648438,0.0,127.2834701538086,92.73812866210938,0.2782144248485565,139.10719299316406,740.4857482910156,525.767937630415,214.71781066060066
2,3,34,10,2026,TERM_LIFE,36,True,94630.086,0.0031400002,0.07408182,0.9230108,0.9111783,0.81768227,0.8638376,0.90702945,0.0,110.25,12.3944845,55.125,165.375,177.76949,209.88219,108.15812,0.0,0.7416619,553.2696,757.9035,619.72424,452.39874,242.96487,6624.106,0.0,134.5905,247.8897,97.18595,0.29155788,145.77893,528.5507202148438,716.9102172851562,188.3594970703125,562.108154296875,410.3389892578125,224.84324645996094,209.88218688964844,0.0,116.26433563232422,83.952880859375,0.251858651638031,125.9293212890625,646.06103515625,467.2887620329857,178.7722731232643
2,4,34,10,2026,TERM_LIFE,37,True,94630.086,0.0033,0.063762814,0.9331476,0.9230108,0.75472957,0.82270247,0.8638376,0.0,115.7625,11.440244,57.88125,173.64374,185.08398,193.89978,100.943695,0.0,0.6519638,553.2696,757.9035,572.0122,417.5689,235.6864,5677.8057,0.0,130.78143,228.80489,94.27456,0.28282368,141.41183,501.281005859375,666.2867431640625,165.0057373046875,494.1256408691406,360.71173095703125,197.6502685546875,193.8997802734375,0.0,107.59420776367188,77.5599136352539,0.23267973959445953,116.3398666381836,571.6855545043945,421.8170226961374,149.8685318082571
2,5,34,10,2026,TERM_LIFE,38,True,94630.086,0.0035100002,0.054881163,0.9418015,0.9331476,0.7042741,0.7835262,0.82270247,0.0,121.55062,10.675437,60.77531,182.32593,193.00136,183.28699,95.08895,0.0,0.57940805,553.2696,757.9035,533.77185,389.65344,233.9258,4731.5044,0.0,128.46608,213.50874,93.57032,0.28071097,140.35547,482.6109619140625,627.3421630859375,144.731201171875,439.1354064941406,320.56884765625,175.6541748046875,183.2869873046875,0.0,100.65653991699219,73.3147964477539,0.21994438767433167,109.97218322753906,512.4502029418945,386.5028423368931,125.94736060500145
2,6,34,10,2026,TERM_LIFE,39,True,94630.086,0.0037500001,0.047236655,0.94919044,0.9418015,0.6632864,0.7462154,0.7835262,0.0,127.62816,10.054142,63.81408,191.44223,201.49637,175.64095,90.27928,0.0,0.51970226,553.2696,757.9035,502.7071,366.9762,235.37567,3785.2034,0.0,127.33663,201.08284,94.15027,0.28245082,141.2254,469.9273376464844,596.8573608398438,126.93002319335938,393.8841552734375,287.53546142578125,157.5536651611328,175.6409454345703,0.0,95.02055358886719,70.25637817382812,0.2107691615819931,105.38456726074219,464.1405334472656,358.1695551723242,105.97097827494144
