policy_id,bel_opening,ra_opening,csm_opening,is_onerous,onerous_loss,pv_premiums,finance_cost,csm_release,unlock_gain_loss,csm_closing_raw,csm_closing,loss_component
1,303.8477937721277,5.837607,0.0,True,309.6854006790186,2706.2365112304688,0.0,0.0,0.0,0.0,0.0,309.6854
2,130.33857692163525,6.905375,0.0,True,137.24395192544995,4544.070404052734,0.0,0.0,0.0,0.0,0.0,137.24396
3,159.09059430771111,6.98153,0.0,True,166.07212449722527,4221.996780395508,0.0,0.0,0.0,0.0,0.0,166.07213
4,12.583814960234008,7.9826937,0.0,True,20.566508632414184,5784.084442138672,0.0,0.0,0.0,0.0,0.0,20.56651
5,191.27583133730957,6.502511,0.0,True,197.77834236178467,3890.1150665283203,0.0,0.0,0.0,0.0,0.0,197.77834
6,236.45658585205754,6.2031465,0.0,True,242.65973230972966,3429.3853759765625,0.0,0.0,0.0,0.0,0.0,242.65973
7,176.22334141493116,6.7164063,0.0,True,182.9397477602986,4049.128189086914,0.0,0.0,0.0,0.0,0.0,182.93974
8,152.511355892454,6.4806724,0.0,True,158.99202825192054,4313.2083740234375,0.0,0.0,0.0,0.0,0.0,158.99203
9,154.93652665490526,6.5443115,0.0,True,161.48083817834276,4249.338394165039,0.0,0.0,0.0,0.0,0.0,161.48083
10,-30.33607253450998,8.794032,21.542040437647188,False,0.0,6228.963439941406,1.0771021,2.9675636,0.0,19.651578873583162,19.651578873583162,0.0
11,-369.21494732130645,12.474217,356.7407299064505,False,0.0,9809.758850097656,17.837036,47.50361,0.0,327.0741573356497,327.0741573356497,0.0
12,4.460577824597124,8.851325,0.0,True,13.311902859692339,5870.615997314453,0.0,0.0,0.0,0.0,0.0,13.311903
13,323.277413516412,5.7949767,0.0,True,329.0723902276852,2519.6172485351562,0.0,0.0,0.0,0.0,0.0,329.0724
14,307.5722724235261,5.8156433,0.0,True,313.387915734073,2686.222915649414,0.0,0.0,0.0,0.0,0.0,313.3879
15,219.7199838968581,6.6204696,0.0,True,226.34045346701802,3588.672134399414,0.0,0.0,0.0,0.0,0.0,226.34045
16,345.2890257725273,5.429834,0.0,True,350.71885966153485,2299.3585357666016,0.0,0.0,0.0,0.0,0.0,350.71887
17,254.96606557625773,6.235678,0.0,True,261.2017437722111,3238.6044311523438,0.0,0.0,0.0,0.0,0.0,261.20175
18,124.69683483121736,6.968854,0.0,True,131.66568878171785,4584.0848388671875,0.0,0.0,0.0,0.0,0.0,131.6657
19,317.60873825375575,5.6190615,0.0,True,323.2277997237875,2580.7824096679688,0.0,0.0,0.0,0.0,0.0,323.2278
20,360.59523533322795,5.4061737,0.0,True,366.00140903928263,2148.135299682617,0.0,0.0,0.0,0.0,0.0,366.0014
21,-241.70810207652073,10.478914,231.22918781565647,False,0.0,8493.366333007812,11.56146,31.72677,0.0,211.0638769559763,211.0638769559763,0.0
