0;0.0070800
1;0.0017600
2;0.0015200
3;0.0014600
4;0.0014000
5;0.0013500
6;0.0013000
7;0.0012600
8;0.0012300
9;0.0012100
10;0.0012100
11;0.0012300
12;0.0012600
13;0.0013200
14;0.0013900
15;0.0014600
16;0.0015400
17;0.0016200
18;0.0016900
19;0.0017400
20;0.0017900
21;0.0018300
22;0.0018600
23;0.0018900
24;0.0019100
25;0.0019300
26;0.0019600
27;0.0019900
28;0.0020300
29;0.0020800
30;0.0021300
31;0.0021900
32;0.0022500
33;0.0023200
34;0.0024000
35;0.0025100
36;0.0026400
37;0.0028000
38;0.0030100
39;0.0032500
40;0.0035300
41;0.0038400
42;0.0041700
43;0.0045300
44;0.0049200
45;0.0053500
46;0.0058300
47;0.0063600
48;0.0069500
49;0.0076001
50;0.0083200
51;0.0091099
52;0.0099600
53;0.0108900
54;0.0119000
55;0.0130000
56;0.0142100
57;0.0155400
58;0.0170000
59;0.0185900
60;0.0203401
61;0.0222399
62;0.0243100
63;0.0265700
64;0.0290400
65;0.0317500
66;0.0347399
67;0.0380400
68;0.0416800
69;0.0456101
70;0.0497900
71;0.0541501
72;0.0586499
73;0.0632601
74;0.0681200
75;0.0733700
76;0.0791801
77;0.0857001
78;0.0930601
79;0.1011901
80;0.1099799
81;0.1193498
82;0.1291701
83;0.1393800
84;0.1500103
85;0.1611403
86;0.1728196
87;0.1851298
88;0.1982497
89;0.2124607
90;0.2281395
91;0.2457709
92;0.2659309
93;0.2893009
94;0.3166586
95;0.3512376
96;0.4005584
97;0.4884219
98;0.6681496
99;1
